id,name,country,lat,lon
1684682,City of Tacurong,PH,6.68333,124.683327
1684706,Taclobo,PH,12.30744,122.586014
1684711,Tacloban City,PH,11.25,125.0
1684717,Tacligan,PH,13.3975,121.062599
1684746,Tacadang,PH,16.7264,120.640503
1684759,Tagbita,PH,8.67532,117.339897
1684765,Tabonok,PH,10.8512,123.876602
1684803,Tabuk,PH,17.4189,121.444298
1684818,Tabug,PH,18.0343,120.548798
1684821,Tabuelan,PH,10.8209,123.868896
1684828,Tabuc Pontevedra,PH,11.48333,122.816673
1684842,Tabuating,PH,15.3891,120.938599
1684853,Tabuan,PH,9.51556,122.850563
1684857,Tabu,PH,9.8923,122.709801
1684871,Tabontabon,PH,11.04083,124.961113
1684876,Tabunok,PH,10.77861,124.012222
1684877,Tabonoc,PH,10.35,124.800003
1684892,Tabon,PH,15.2746,120.912804
1684914,Tabogon,PH,10.9412,124.028198
1684938,Taboc,PH,8.87833,124.797501
1684967,Tablac,PH,17.216669,120.48333
1684977,Tabio,PH,16.85,120.800003
1684986,Tabing,PH,11.4,124.349998
1684989,Tabinay,PH,13.4871,120.956596
1684990,Tabina,PH,7.4669,123.408096
1685003,Tabid,PH,8.10889,123.783058
1685006,Tabiauan,PH,6.02806,121.893547
1685071,Tabango,PH,11.3077,124.373001
1685102,Tabalong,PH,9.62157,123.812309
1685117,Tabaco,PH,13.35861,123.733612
1685118,City of Tabaco,PH,13.33333,123.716667
1685125,Tabaan,PH,16.299999,120.51667
1685146,Taal,PH,13.87992,120.923111
1685153,Swan,PH,18.224199,121.379097
1685161,Suyo,PH,16.9762,120.525398
1685166,Suyan,PH,6.06028,125.385277
1685196,Suso,PH,17.3594,120.461098
1685203,Surup,PH,6.39035,126.145576
1685214,Province of Surigao del Sur,PH,8.66667,126.0
1685215,Province of Surigao del Norte,PH,9.66667,125.633331
1685216,Surigao City,PH,9.75,125.5
1685218,Surigao,PH,9.78389,125.488892
1685230,Surallah,PH,6.36667,124.73333
1685270,Sungai,PH,8.45139,124.402779
1685286,Sumpong,PH,8.16333,125.118332
1685296,Sumisip,PH,6.41972,121.97139
1685302,Sumilao,PH,8.28722,124.945557
1685340,Sumagui,PH,12.79532,121.474022
1685360,Sumabnit,PH,16.0303,120.583199
1685366,Sulucan,PH,14.8,120.933327
1685370,Province of Sulu,PH,6.0,121.0
1685377,Province of Sultan Kudarat,PH,6.55,124.283333
1685378,Sultan Kudarat,PH,7.22889,124.257782
1685391,Sulop,PH,6.59861,125.343613
1685401,Sulit,PH,6.23611,125.020561
1685418,Sulat,PH,11.81028,125.454437
1685422,Sulangan,PH,11.1373,123.722801
1685434,Sula,PH,15.45725,120.395531
1685476,Sugpon,PH,16.843399,120.515701
1685484,Sugod,PH,12.987,124.080498
1685499,Sugcad,PH,13.36667,123.699997
1685506,Sugbongkogon,PH,8.95694,124.791107
1685520,Sugal,PH,5.66222,125.46167
1685532,Sudipen,PH,16.9056,120.4617
1685541,Sucol,PH,14.91667,120.76667
1685549,Suklayin,PH,15.7574,121.550301
1685556,Subusub,PH,16.226999,120.494698
1685577,Subic,PH,14.87999,120.234329
1685609,Saaban,PH,13.1305,121.368721
1685615,Suba,PH,10.8438,121.010201
1685622,Suay,PH,10.06306,122.855278
1685625,Suz-on,PH,7.66278,125.638329
1685634,Sual,PH,16.06682,120.094139
1685681,Soyung,PH,16.7001,121.665497
1685692,South Upi,PH,6.83333,124.150002
1685725,Province of Southern Leyte,PH,10.33333,125.083328
1685731,Province of South Cotabato,PH,6.25218,125.000603
1685754,Province of Sorsogon,PH,12.83333,123.916672
1685755,Sorsogon,PH,12.97389,123.993332
1685759,City of Sorsogon,PH,12.98333,123.98333
1685789,Sonob,PH,8.32806,123.15583
1685800,Songculan,PH,9.62966,123.828972
1685831,Solsona,PH,18.09333,120.769722
1685850,Solo,PH,13.74691,120.901192
1685867,Soledad,PH,15.4282,120.983902
1685875,Solano,PH,16.51918,121.181236
1685880,Solana,PH,17.6528,121.691002
1685915,Sogod,PH,13.83333,123.316673
1685936,Socorro,PH,13.05833,121.411667
1686004,Sitangkai,PH,4.66278,119.392776
1686007,Sison,PH,16.173889,120.515282
1686039,Siruma,PH,14.0,123.25
1686045,Sirib,PH,7.13333,125.407219
1686047,Siraway,PH,7.58528,122.139717
1686066,Siquijor,PH,9.2142,123.514999
1686078,Sipocot,PH,13.768,122.976196
1686102,Sipalay,PH,9.75194,122.404167
1686104,City of Sipalay,PH,9.75,122.5
1686123,Siocon,PH,7.70611,122.135277
1686141,Sinuknipan,PH,13.8894,122.637497
1686144,Sinubong,PH,7.02806,121.925278
1686159,Sinonoc,PH,8.3096,123.8461
1686164,Sinolon,PH,6.24389,124.814438
1686175,Sinisian,PH,13.9156,120.844009
1686187,Siniloan,PH,14.4216,121.446297
1686191,Sinilian First,PH,15.6952,120.459396
1686228,Sindon,PH,17.060341,122.015137
1686234,Sindangan,PH,8.2376,122.997398
1686244,Sinayawan,PH,6.7125,125.309441
1686250,Sinawilan,PH,6.75444,125.246391
1686290,Sinamar,PH,16.9,121.566673
1686311,Sinala,PH,13.8057,120.974632
1686318,Sinait,PH,17.8664,120.458298
1686335,Sinacaban,PH,8.2864,123.839897
1686355,Simunul,PH,4.89833,119.849442
1686387,Simimbaan,PH,17.11574,121.582443
1686407,Simanu Sur,PH,17.482821,121.835152
1686422,Simala,PH,9.97326,123.616478
1686435,Silway 7,PH,6.17711,125.120682
1686436,Silvino Lobos,PH,12.3,124.833328
1686455,Silongin,PH,13.29972,122.521393
1686467,Sillon,PH,11.199,123.767502
1686499,Silay City,PH,10.8,122.966667
1686502,Sillawit,PH,16.878889,121.756393
1686545,Silanga,PH,11.81806,124.843063
1686547,Silang,PH,14.21567,120.971367
1686559,Silago,PH,10.5291,125.161797
1686564,Silae,PH,8.15889,125.282501
1686572,Silab,PH,9.4383,123.179199
1686582,Sikatuna,PH,9.6883,123.975098
1686615,Sigma,PH,11.4214,122.666199
1686631,Sigay,PH,17.08333,120.599998
1686636,Cigaras,PH,14.2266,121.429802
1686652,Sierra Bullones,PH,9.8081,124.292099
1686655,Siempre Viva,PH,17.228741,121.632942
1686668,Sico Uno,PH,13.8301,121.371231
1686678,Siclong,PH,15.5808,121.2239
1686712,Sibutao,PH,8.5916,123.485901
1686725,Sibulan,PH,14.75,121.933327
1686735,Sibul,PH,15.8,121.0
1686760,Sibuco,PH,7.29111,122.065559
1686767,Sibucao,PH,10.4179,122.887001
1686777,Sibonga,PH,10.0168,123.617104
1686819,Sibalom,PH,10.79,122.017799
1686840,Sibaguan,PH,11.55778,122.71389
1686847,Sibagat,PH,8.8225,125.697502
1686858,Siayan,PH,8.26667,123.099998
1686862,Siay,PH,7.69611,122.86306
1686868,Siaton,PH,9.0648,123.033897
1686874,Siasi,PH,5.5462,120.814499
1686878,Siari,PH,8.3245,122.988098
1686933,Sexmoan,PH,14.9438,120.622902
1686934,Sasmuan (Sexmoan),PH,14.88333,120.599998
1686940,Sevilla,PH,9.70383,124.048286
1686954,Sergio Osmeña Sr,PH,8.16667,123.5
1686956,Seres,PH,8.4803,123.262901
1686959,Salunayan,PH,7.15444,124.497498
1686985,Semut,PH,6.66361,122.218887
1686992,Semirara,PH,12.06967,121.398613
1687014,Siguinon,PH,10.9423,124.680603
1687029,Lake Sebu,PH,6.22,124.693611
1687038,Sebaste,PH,11.5901,122.094498
1687058,Saysain,PH,14.56111,120.392502
1687132,Satan,PH,6.86306,124.408607
1687147,Sarrat,PH,18.1574,120.647003
